,0,1,2,3,4,5,6,7,8,name,dispointstrict,district,state,extraction_date
99,"<img src=""grosplan/PA/PA_0100-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_100 [50 pts]</b>",Date de pose : 03/10/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;10&quot;);"">Paris - 10ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : novembre 2024 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_100/"" target=""_blank"">hashtag #PA_100</a></font>","<div id=""image65""><a class=""chocolat-image"" href=""photos/PA/PA_0100-decembre2024.jpg"" title=""PA_0100-decembre2024""><img src=""images/PA/PA_0100-decembre2024.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_100,50,Paris - 10ème arrondissement,OK,2025-01-31
999,"<img src=""grosplan/PA/PA_1000-grosplan.png"" title=""THIS IS #1000 IN PARIS !"" width=""100"">","<font class=""normal""><b>PA_1000 [100 pts]</b>",Date de pose : 06/06/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : juillet 2020 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1000/"" target=""_blank"">hashtag #PA_1000</a></font>","<div id=""image59""><a class=""chocolat-image"" href=""photos/PA/PA_1000-juin2016.jpg"" title=""PA_1000-juin2016""><img src=""images/PA/PA_1000-juin2016.jpg"" width=""300"" class=""imagelien""></a></div>","<img src=""images/PA/PA_1000-juillet2020.jpg"" width=""300"">",PA_1000,100,Paris - 11ème arrondissement,Détruit !,2025-01-31
1000,"<img src=""grosplan/PA/PA_1001-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1001 [10 pts]</b>",Date de pose : 08/06/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : juin 2016 (spott),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1001/"" target=""_blank"">hashtag #PA_1001</a></font>","<div id=""image0""><a class=""chocolat-image"" href=""photos/PA/PA_1001-juin2016.jpg"" title=""PA_1001-juin2016""><img src=""images/PA/PA_1001-juin2016.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1001,10,Paris - 11ème arrondissement,OK,2025-01-31
1001,"<img src=""grosplan/PA/PA_1002-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1002 [20 pts]</b>",Date de pose : 10/06/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;94&quot;);"">Paris - banlieue 94</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : août 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1002/"" target=""_blank"">hashtag #PA_1002</a></font>","<div id=""image1""><a class=""chocolat-image"" href=""photos/PA/PA_1002-septembre2018.jpg"" title=""PA_1002-septembre2018""><img src=""images/PA/PA_1002-septembre2018.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1002,20,Paris - banlieue 94,OK,2025-01-31
1002,"<img src=""grosplan/PA/PA_1003-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1003 [50 pts]</b>",Date de pose : 18/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;17&quot;);"">Paris - 17ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : septembre 2021 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1003/"" target=""_blank"">hashtag #PA_1003</a></font>","<div id=""image2""><a class=""chocolat-image"" href=""photos/PA/PA_1003-mars2021.jpg"" title=""PA_1003-mars2021""><img src=""images/PA/PA_1003-mars2021.jpg"" width=""300"" class=""imagelien""></a></div>","<div id=""image3""><a class=""chocolat-image"" href=""photos/PA/PA_1003-septembre2021.jpg"" title=""PA_1003-septembre2021""><img src=""images/PA/PA_1003-septembre2021.jpg"" width=""300"" class=""imagelien""></a></div>",PA_1003,50,Paris - 17ème arrondissement,Détruit !,2025-01-31
1003,"<img src=""grosplan/PA/PA_1004-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1004 [20 pts]</b>",Date de pose : 18/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;08&quot;);"">Paris - 8ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : septembre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1004/"" target=""_blank"">hashtag #PA_1004</a></font>","<div id=""image4""><a class=""chocolat-image"" href=""photos/PA/PA_1004-juillet2016.jpg"" title=""PA_1004-juillet2016""><img src=""images/PA/PA_1004-juillet2016.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1004,20,Paris - 8ème arrondissement,OK,2025-01-31
1004,"<img src=""grosplan/PA/PA_1005-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1005 [30 pts]</b>",Date de pose : 18/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : novembre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1005/"" target=""_blank"">hashtag #PA_1005</a></font>","<div id=""image5""><a class=""chocolat-image"" href=""photos/PA/PA_1005-septembre2018.jpg"" title=""PA_1005-septembre2018""><img src=""images/PA/PA_1005-septembre2018.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1005,30,Paris - 11ème arrondissement,OK,2025-01-31
1005,"<img src=""grosplan/PA/PA_1006-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1006 [20 pts]</b>",Date de pose : 26/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;09&quot;);"">Paris - 9ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : juillet 2022 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1006/"" target=""_blank"">hashtag #PA_1006</a></font>","<div id=""image6""><a class=""chocolat-image"" href=""photos/PA/PA_1006-aout2019.jpg"" title=""PA_1006-aout2019""><img src=""images/PA/PA_1006-aout2019.jpg"" width=""300"" class=""imagelien""></a></div>","<div id=""image7""><a class=""chocolat-image"" href=""photos/PA/PA_1006-juillet2022.jpg"" title=""PA_1006-juillet2022""><img src=""images/PA/PA_1006-juillet2022.jpg"" width=""300"" class=""imagelien""></a></div>",PA_1006,20,Paris - 9ème arrondissement,Détruit !,2025-01-31
1006,"<img src=""grosplan/PA/PA_1007-grosplan.png"" title=""PROTECT'EM, THIEVES SUCK."" width=""100"">","<font class=""normal""><b>PA_1007 [30 pts]</b>",Date de pose : 26/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;09&quot;);"">Paris - 9ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : juin 2023 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1007/"" target=""_blank"">hashtag #PA_1007</a></font>","<div id=""image8""><a class=""chocolat-image"" href=""photos/PA/PA_1007-juillet2015.jpg"" title=""PA_1007-juillet2015""><img src=""images/PA/PA_1007-juillet2015.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1007,30,Paris - 9ème arrondissement,OK,2025-01-31
1007,"<img src=""grosplan/PA/PA_1008-grosplan.png"" title=""LA DICTATURE C'EST FERME TA GUEULE META C'EST CAUSE TOUJOURS"" width=""100"">","<font class=""normal""><b>PA_1008 [50 pts]</b>",Date de pose : 26/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;02&quot;);"">Paris - 2ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : novembre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1008/"" target=""_blank"">hashtag #PA_1008</a></font>","<div id=""image9""><a class=""chocolat-image"" href=""photos/PA/PA_1008-janvier2016.jpg"" title=""PA_1008-janvier2016""><img src=""images/PA/PA_1008-janvier2016.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1008,50,Paris - 2ème arrondissement,OK,2025-01-31
