invader_name,Latitude,Longitude,number
PA_1,48.8517553,2.3779934,1.0
PA_2,48.8610856,2.3504878999999996,2.0
PA_3,48.84885676666667,2.3485093,3.0
PA_4,48.847106733333334,2.3511694333333333,4.0
PA_5,48.85182221640533,2.3337414110565198,5.0
PA_6,48.85510213333333,2.336755033333333,6.0
PA_7,48.87317156666666,2.3634325,7.0
PA_8,48.865803649065896,2.3976442185363767,8.0
PA_9,48.8531359,2.3763674,9.0
PA_10,48.85325863333333,2.3757184666666666,10.0
PA_11,48.8552718,2.3755051500000004,11.0
PA_12,48.8552718,2.3755051500000004,12.0
PA_13,48.847347333333325,2.375497166666667,13.0
PA_14,48.8488123370823,2.372727944002787,14.0
PA_15,48.84810943333334,2.3807906333333335,15.0
PA_16,48.849507200000005,2.3743471333333335,16.0
PA_17,48.81575946666666,2.3618346666666667,17.0
PA_18,48.888539233333326,2.3412561333333333,18.0
PA_19,48.873216033333335,2.3640547333333335,19.0
PA_20,48.870678899999994,2.3458204666666664,20.0
PA_21,48.87029156666667,2.345591133333333,21.0
PA_22,48.8598547,2.3646362,22.0
PA_23,48.8621901,2.3534324,23.0
PA_24,48.833375233333335,2.3545323333333332,24.0
PA_25,48.86467210000001,2.363760633333333,25.0
PA_26,48.8612625,2.3464166,26.0
PA_27,48.86121283333333,2.3579355,27.0
PA_28,48.853939200000006,2.3765838666666665,28.0
PA_29,48.862592400000004,2.359879466666667,29.0
PA_30,48.86099576666667,2.3505217,30.0
PA_31,48.861250766666664,2.3506753000000002,31.0
PA_32,48.860975233333335,2.3627759000000004,32.0
PA_33,48.8586252,2.3587641,33.0
PA_34,48.85864900000001,2.358501066666667,34.0
PA_35,48.85717993333333,2.361727666666667,35.0
PA_36,48.837140766666664,2.3732511333333335,36.0
PA_37,48.855563700000005,2.3697668666666662,37.0
PA_38,48.853208566666666,2.3749328,38.0
PA_39,48.848324,2.3465855666666666,39.0
PA_40,48.847146366666664,2.348156833333333,40.0
PA_41,48.89766646666667,2.3859449666666666,41.0
PA_42,48.853796966666664,2.3369537333333334,42.0
PA_43,48.85370170000001,2.3426792,43.0
PA_44,48.85358173333333,2.3384873,44.0
PA_45,48.8514548,2.3381513,45.0
PA_46,48.8522697,2.3392240333333336,46.0
PA_47,48.85159573333333,2.3779611333333333,47.0
PA_48,48.8558629,2.3692972666666665,48.0
PA_49,48.86596226666666,2.3783749999999997,49.0
PA_50,48.854691233333334,2.3708682333333333,50.0
PA_51,48.85284479999999,2.3743986666666665,51.0
PA_52,48.8611645,2.3606873,52.0
PA_53,48.83688443333333,2.372287866666667,53.0
PA_54,48.8367791,2.3513854,54.0
PA_55,48.827788766666664,2.3528572000000003,55.0
PA_56,48.82876769999999,2.3515937,56.0
PA_57,48.83445656666667,2.369717533333333,57.0
PA_58,48.833693466666666,2.3704226,58.0
PA_59,48.84432906666667,2.2846288,59.0
PA_60,48.8635142,2.344472833333333,60.0
PA_61,48.86636576666667,2.3472432666666667,61.0
PA_62,48.86769906666666,2.3454476333333334,62.0
PA_63,48.85342803333333,2.3798529666666663,63.0
PA_64,48.8647654,2.297368666666667,64.0
PA_65,48.85309809999999,2.3738999,65.0
PA_66,48.88563713333334,2.3380712,66.0
PA_67,48.88563713333334,2.3380712,67.0
PA_68,48.88563713333334,2.3380712,68.0
PA_69,48.83465279999999,2.3541937333333336,69.0
PA_70,48.85684419999999,2.355449366666667,70.0
PA_71,48.85480286666667,2.359016066666667,71.0
PA_72,48.86162013333333,2.3674958333333334,72.0
PA_73,48.868409033333336,2.3793763,73.0
PA_74,48.8601353,2.3619922,74.0
PA_75,48.83429146666666,2.332470166666667,75.0
PA_76,48.8383709,2.357021833333333,76.0
PA_77,48.8471216,2.3314645333333335,77.0
PA_78,48.829024266666664,2.3530610333333333,78.0
PA_79,48.82788366666667,2.3514548,79.0
PA_80,48.8816297,2.3308904333333333,80.0
PA_81,48.864887,2.3779595666666666,81.0
PA_82,48.84690796666666,2.4085882333333335,82.0
PA_83,48.864560966666666,2.3645594666666665,83.0
PA_84,48.85600796666666,2.3666558666666666,84.0
PA_85,48.85319963333333,2.3781909,85.0
PA_86,48.85053906666667,2.3601862666666666,86.0
PA_87,48.837390866666674,2.374109466666667,87.0
PA_88,48.86200316666666,2.3350055333333333,88.0
PA_89,48.86290683333334,2.345470666666667,89.0
PA_90,48.86375163333333,2.3490021333333337,90.0
PA_91,48.853195766666666,2.3765305666666667,91.0
PA_92,48.860313966666666,2.3473729000000003,92.0
PA_93,48.859697399999995,2.3333068666666663,93.0
PA_94,48.84704489999999,2.3325902333333333,94.0
PA_95,48.867244166666666,2.3376013333333336,95.0
PA_96,48.86749665,2.337708,96.0
PA_97,48.83943983333334,2.3889955,97.0
PA_98,48.853198825,2.343705425,98.0
PA_99,48.853198899999995,2.3436989333333336,99.0
PA_100,48.87237,2.3640686333333334,100.0
PA_101,48.87146683333333,2.378585333333333,101.0
PA_102,48.83988003333334,2.3619105333333335,102.0
PA_103,48.85926270000001,2.3540330666666667,103.0
PA_104,48.853404266666665,2.4143494666666667,104.0
PA_105,48.8674388,2.3637897,105.0
PA_106,48.85390566666666,2.3619246666666602,106.0
PA_107,48.85932796666666,2.2930761333333334,107.0
PA_108,48.8597385,2.291552633333333,108.0
PA_109,48.859809399999996,2.3525306666666665,109.0
PA_110,48.862633233333334,2.3512397,110.0
PA_111,48.89159563333334,2.3446567666666667,111.0
PA_112,48.834983333333334,2.3268828999999998,112.0
PA_113,48.84665356666667,2.3514793,113.0
PA_114,48.85713726666666,2.3572241999999997,114.0
PA_115,48.858577966666665,2.359646,115.0
PA_116,48.854721633333334,2.3727528,116.0
PA_117,48.854405066666665,2.3731303,117.0
PA_118,48.8354474,2.3752669333333336,118.0
PA_119,48.859443766666665,2.402822366666667,119.0
PA_120,48.869833666666665,2.3669458666666667,120.0
PA_121,48.8576252,2.332793633333333,121.0
PA_122,48.8404815,2.3530728,122.0
PA_123,48.83869476666666,2.3756492666666666,123.0
PA_124,48.87335376666667,2.3243997000000003,124.0
PA_125,48.83955006666667,2.3958487,125.0
PA_126,48.8591513,2.292804,126.0
PA_127,48.84796213333334,2.3984262333333333,127.0
PA_128,48.852003599999996,2.3737578666666668,128.0
PA_129,48.82374706666667,2.382380866666667,129.0
PA_130,48.822388733333334,2.3804418666666667,130.0
PA_131,48.856489833333335,2.4031538,131.0
PA_132,48.85624213333333,2.4055269666666668,132.0
PA_133,48.85168036666667,2.3778813333333333,133.0
PA_134,48.8602611,2.3399752,134.0
PA_135,48.86030579999999,2.3334645333333337,135.0
PA_136,48.8601569,2.3353028,136.0
PA_142,48.8601569,2.3353028,142.0
PA_143,48.85741636666666,2.3472483,143.0
PA_144,48.8601373,2.3507673666666666,144.0
PA_145,48.85891713333333,2.3525478,145.0
PA_146,48.8342455,2.3553996,146.0
PA_147,48.842838699999994,2.3658327333333333,147.0
PA_148,48.85591016666667,2.3506833,148.0
PA_149,48.854707366666666,2.362891266666667,149.0
PA_150,48.8474706,2.3435460666666668,150.0
PA_151,48.843064633333334,2.3467656666666667,151.0
PA_152,48.86624406666667,2.3233868,152.0
PA_153,48.8579692,2.3528552,153.0
PA_154,48.8416959,2.4009430333333333,154.0
PA_155,48.85138336666666,2.3482461333333333,155.0
PA_156,48.859917599999996,2.3542889000000002,156.0
PA_157,48.846251966666664,2.3488743333333333,157.0
PA_158,48.8606925,2.3637135666666667,158.0
PA_159,48.876031633333334,2.3510243666666666,159.0
PA_160,48.885376400000006,2.3406764333333334,160.0
PA_161,48.88416163333333,2.3396548666666668,161.0
PA_162,48.884616566666665,2.3705586000000003,162.0
PA_163,48.846861133333334,2.3434437999999997,163.0
PA_164,48.8663262,2.3806382,164.0
PA_165,48.88764716666666,2.3405622000000004,165.0
PA_166,48.885301633333334,2.3853636333333337,166.0
PA_167,48.86552413333334,2.3366550333333334,167.0
PA_168,48.865523,2.336674,168.0
PA_169,48.88635313333333,2.3414556666666666,169.0
